id,assert_type,subject,predicate,object
L20169,relationship,I2003,mentioned in,D20169
L20170,relationship,I2003,mentioned in,D20170
L20171,relationship,I2003,mentioned in,D20171
L20172,relationship,I2003,mentioned in,D130024
L20173,relationship,I2003,mentioned in,D250020
L20174,relationship,I2003,mentioned in,D21303
L20175,relationship,I2003,mentioned in,D20175
L20176,relationship,I2003,mentioned in,D10102
L20177,relationship,I2003,mentioned in,D20177
L20178,relationship,I2003,mentioned in,D20946
L20179,relationship,I2003,mentioned in,D20982
L20180,relationship,I2004,mentioned in,D80623
L20181,relationship,I2005,mentioned in,D20181
L20182,relationship,I2005,mentioned in,D120145
L20183,relationship,I2005,mentioned in,D20183
L20184,relationship,I2005,mentioned in,D120108
L20185,relationship,I2003,mentioned in,D20185
L20186,relationship,I2003,mentioned in,D200003
L20187,relationship,I2003,mentioned in,D20187
L20188,relationship,I2003,mentioned in,D20188
L20189,relationship,I2003,mentioned in,D20189
L20190,relationship,I2003,mentioned in,D20190
L20191,relationship,I2003,mentioned in,D230114
L20192,relationship,I2003,mentioned in,D10242
L20193,relationship,I2003,mentioned in,D70093
L20194,relationship,I2003,mentioned in,D20194
L20195,relationship,I2003,mentioned in,D20195
L20196,relationship,I2003,mentioned in,D20134
L20197,relationship,I2003,mentioned in,D230216
L20198,relationship,I2003,mentioned in,D20198
L20199,relationship,I2003,mentioned in,D230251
L20200,relationship,I2003,mentioned in,D230290
L20201,relationship,I2003,mentioned in,D20201
L20202,relationship,I2003,mentioned in,D20202
L20203,relationship,I2003,mentioned in,D230514
L20204,relationship,I2003,mentioned in,D230561
L20205,relationship,I2003,mentioned in,D20205
L20206,relationship,I2003,mentioned in,D20206
L20208,relationship,I2003,mentioned in,D20208
L20209,relationship,I2003,mentioned in,D20209
L20210,relationship,I2003,mentioned in,D20210
L20211,relationship,I2003,mentioned in,D20211
L20212,relationship,I2003,mentioned in,D20212
L20213,relationship,I2003,mentioned in,D210099
L20214,relationship,I2003,mentioned in,D200004
L20215,relationship,I2003,mentioned in,D20215
L20216,relationship,I2003,mentioned in,D20216
L20217,relationship,I2003,mentioned in,D20217
L20218,relationship,I2003,mentioned in,D20218
L20219,relationship,I2003,mentioned in,D20219
L20220,relationship,I2003,mentioned in,D20220
L20221,relationship,I2003,mentioned in,D190258
L20222,relationship,I2003,mentioned in,D20222
L20223,relationship,I2003,mentioned in,D20223
L20224,relationship,I2003,mentioned in,D20224
L20225,relationship,I2003,mentioned in,D20225
L20226,relationship,I2003,mentioned in,D20226
L20227,relationship,I2003,mentioned in,D20227
L20228,relationship,I2003,mentioned in,D20228
L20229,relationship,I2003,mentioned in,D20229
L20231,relationship,I2003,mentioned in,D20231
L20232,relationship,I2003,mentioned in,D20232
L20233,relationship,I2003,mentioned in,D20233
L20234,relationship,I2003,mentioned in,D20234
L20235,relationship,I2003,mentioned in,D20235
L20236,relationship,I2003,mentioned in,D191345
L20237,relationship,I2003,mentioned in,D191582
L20238,relationship,I2003,mentioned in,D20238
L20239,relationship,I2003,mentioned in,D191261
L20240,relationship,I2003,mentioned in,D191295
L20241,relationship,I2003,mentioned in,D20241
L20242,relationship,I2003,mentioned in,D160296
L20243,relationship,I2003,mentioned in,D160369
L20244,relationship,I2003,mentioned in,D160375
L20245,relationship,I2003,mentioned in,D160379
L20246,relationship,I2003,mentioned in,D160383
L20247,relationship,I2003,mentioned in,D20247
L20248,relationship,I2003,mentioned in,D160386
L20249,relationship,I2003,mentioned in,D160537
L20250,relationship,I2007,mentioned in,D10095
L20251,relationship,I2007,mentioned in,D20251
